matchweek,horizon_bucket,outcome_class,bin_lower,bin_upper,n_matches,mean_predicted_probability,empirical_frequency,generated_at
5,8-30,home_win,0.9,1.0,0,,,2026-09-21T07:40:17+00:00
5,8-30,draw,0.0,0.1,0,,,2026-09-21T07:40:17+00:00
5,8-30,draw,0.1,0.2,0,,,2026-09-21T07:40:17+00:00
5,8-30,draw,0.2,0.3,0,,,2026-09-21T07:40:17+00:00
5,8-30,draw,0.3,0.4,0,,,2026-09-21T07:40:17+00:00
5,8-30,draw,0.4,0.5,0,,,2026-09-21T07:40:17+00:00
5,8-30,draw,0.5,0.6,0,,,2026-09-21T07:40:17+00:00
5,8-30,draw,0.6,0.7,0,,,2026-09-21T07:40:17+00:00
5,8-30,draw,0.7,0.8,0,,,2026-09-21T07:40:17+00:00
5,8-30,draw,0.8,0.9,0,,,2026-09-21T07:40:17+00:00
5,8-30,draw,0.9,1.0,0,,,2026-09-21T07:40:17+00:00
5,8-30,away_win,0.0,0.1,0,,,2026-09-21T07:40:17+00:00
5,8-30,away_win,0.1,0.2,0,,,2026-09-21T07:40:17+00:00
5,8-30,away_win,0.2,0.3,0,,,2026-09-21T07:40:17+00:00
5,8-30,away_win,0.3,0.4,0,,,2026-09-21T07:40:17+00:00
5,8-30,away_win,0.4,0.5,0,,,2026-09-21T07:40:17+00:00
5,8-30,away_win,0.5,0.6,0,,,2026-09-21T07:40:17+00:00
5,8-30,away_win,0.6,0.7,0,,,2026-09-21T07:40:17+00:00
5,8-30,away_win,0.7,0.8,0,,,2026-09-21T07:40:17+00:00
5,8-30,away_win,0.8,0.9,0,,,2026-09-21T07:40:17+00:00
5,8-30,away_win,0.9,1.0,0,,,2026-09-21T07:40:17+00:00
5,31+,home_win,0.0,0.1,0,,,2026-09-21T07:40:17+00:00
5,31+,home_win,0.1,0.2,0,,,2026-09-21T07:40:17+00:00
5,31+,home_win,0.2,0.3,0,,,2026-09-21T07:40:17+00:00
5,31+,home_win,0.3,0.4,5,0.3354,1.0,2026-09-21T07:40:17+00:00
5,31+,home_win,0.4,0.5,15,0.457,1.0,2026-09-21T07:40:17+00:00
5,31+,home_win,0.5,0.6,5,0.5181,1.0,2026-09-21T07:40:17+00:00
5,31+,home_win,0.6,0.7,0,,,2026-09-21T07:40:17+00:00
5,31+,home_win,0.7,0.8,0,,,2026-09-21T07:40:17+00:00
5,31+,home_win,0.8,0.9,0,,,2026-09-21T07:40:17+00:00
5,31+,home_win,0.9,1.0,0,,,2026-09-21T07:40:17+00:00
5,31+,draw,0.0,0.1,0,,,2026-09-21T07:40:17+00:00
5,31+,draw,0.1,0.2,0,,,2026-09-21T07:40:17+00:00
